Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,825,39,"16,234.795751980464000"
,0,826,39,"16,234.795751980464000"
,0,827,39,"16,234.795751980464000"
,0,828,39,"16,234.795751980464000"
,0,829,39,"16,234.795751980464000"
,0,830,39,"16,234.795751980464000"
,0,831,39,"16,234.795751980464000"
,0,832,39,"16,234.795751980464000"
,0,833,39,"16,234.795751980464000"
,0,834,39,"22,274.105062265764000"
,0,835,39,"22,274.105062265764000"
,0,836,39,"22,274.105062265764000"
,0,837,39,"22,274.105062265764000"
,0,838,39,"22,274.105062265764000"
,0,839,39,"22,274.105062265764000"
,0,840,39,"22,274.105062265764000"
,0,841,39,"22,274.105062265764000"
,0,842,39,"22,274.105062265764000"
,0,843,39,"22,274.105062265764000"
,0,844,39,"22,274.105062265764000"
,0,845,39,"22,274.105062265764000"
,0,846,39,"22,274.105062265764000"
,0,847,39,"22,274.105062265764000"
,0,848,39,"22,274.105062265764000"
,0,849,39,"22,274.105062265764000"
,0,850,39,"22,274.105062265764000"
,0,851,39,"22,274.105062265764000"
,0,852,39,"22,274.105062265764000"
,0,853,39,"22,274.105062265764000"
,0,854,39,"22,274.105062265764000"
,0,855,39,"22,274.105062265764000"
,0,856,39,"22,274.105062265764000"
,0,857,39,"22,274.105062265764000"
,0,859,39,0.000000000000000
,0,860,39,0.000000000000000
,0,861,39,0.000000000000000
,0,862,39,0.000000000000000
,0,863,39,0.000000000000000
,0,864,39,0.000000000000000
,0,865,39,0.000000000000000
,0,866,39,0.000000000000000
,0,867,39,0.000000000000000
,0,868,39,0.000000000000000
,0,869,39,0.000000000000000
,0,870,39,0.000000000000000
,0,871,39,0.000000000000000
,0,872,39,0.000000000000000
,0,873,39,0.000000000000000
,0,874,39,0.000000000000000
,0,875,39,0.000000000000000
,0,876,39,0.000000000000000
,0,877,39,0.000000000000000
,0,878,39,0.000000000000000
,0,879,39,0.000000000000000
,0,880,39,0.000000000000000
,0,881,39,0.000000000000000
,0,882,39,0.000000000000000
,0,883,39,0.000000000000000
,0,884,39,0.000000000000000
,0,885,39,0.000000000000000
,0,886,39,0.000000000000000
,0,887,39,0.000000000000000
,0,888,39,0.000000000000000
,0,889,39,0.000000000000000
,0,890,39,0.000000000000000
,0,891,39,0.000000000000000
,0,892,39,0.000000000000000
,0,893,39,0.000000000000000
,0,894,39,0.000000000000000
,0,895,39,0.000000000000000
,0,896,39,0.000000000000000
,0,897,39,0.000000000000000
,0,898,39,0.000000000000000
,0,899,39,0.000000000000000
,0,900,39,0.000000000000000
,0,901,39,0.000000000000000
,0,902,39,0.000000000000000
,0,903,39,0.000000000000000
,0,904,43,"65,568.146812161227000"
,0,905,43,"65,568.146812161227000"
,0,906,43,"65,568.146812161227000"
,0,907,43,"65,568.146812161227000"
,0,908,43,"65,568.146812161227000"
,0,909,43,"65,568.146812161227000"
,0,910,43,"65,568.146812161227000"
,0,911,43,"65,568.146812161227000"
,0,912,43,"65,568.146812161227000"
,0,913,43,"65,568.146812161227000"
,0,914,43,"65,568.146812161227000"
,0,915,43,"65,568.146812161227000"
,0,916,43,"65,568.146812161227000"
,0,917,43,"65,568.146812161227000"
,0,918,43,"65,568.146812161227000"
,0,919,43,"68,206.094831164039000"
,0,920,43,"68,206.094831164039000"
,0,921,43,"68,206.094831164039000"
,0,922,43,"68,206.094831164039000"
,0,923,43,"68,206.094831164039000"
,0,924,43,"68,206.094831164039000"
,0,925,43,"68,206.094831164039000"
,0,926,43,"68,206.094831164039000"
,0,927,43,"68,206.094831164039000"
,0,928,43,"68,206.094831164039000"
,0,929,43,"68,206.094831164039000"
,0,930,43,"68,206.094831164039000"
,0,931,43,"68,206.094831164039000"
,0,932,43,"68,206.094831164039000"
,0,933,43,"68,206.094831164039000"
,0,934,43,"66,816.512091305107000"
,0,935,43,"66,816.512091305107000"
,0,936,43,"66,816.512091305107000"
