"","indivID2012","ageY","ageM","sex","relHH","relig","married","regionBorn","bioDadinHH","bioDadEduc","bioDadJob","bioMominHH","bioMomEduc","bioMomJob"
"660","0102080060301903",17,NA,1,3,1,1,1,2,98,1,1,98,1
"661","0102080060301904",NA,26,1,4,NA,NA,1,2,98,1,1,10,1
"662","0102080060302901",34,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"663","0102080060302902",27,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"664","0102080060302903",8,NA,1,3,NA,NA,1,1,98,1,1,98,1
"665","0102080060302904",6,NA,2,3,NA,NA,1,1,98,1,1,98,1
"666","0102080060302905",NA,56,1,3,NA,NA,1,1,98,1,1,98,1
"667","0102080060302906",NA,34,1,3,NA,NA,1,1,98,1,1,98,1
"668","0102080060303401",39,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"669","0102080060303402",26,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"670","0102080060303403",10,NA,2,3,1,1,1,1,98,1,1,98,1
"671","0102080060303404",7,NA,2,3,NA,NA,1,1,98,1,1,98,1
"672","0102080060303405",5,NA,1,3,NA,NA,1,1,98,1,1,98,1
"673","0102080060304901",46,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"674","0102080060304902",40,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"675","0102080060304903",17,NA,1,3,1,1,1,1,98,1,1,98,1
"676","0102080060304904",15,NA,1,3,1,1,1,1,98,1,1,98,1
"677","0102080060304905",13,NA,1,3,1,1,1,1,98,1,1,98,1
"678","0102080060304906",9,NA,2,3,NA,NA,1,1,98,1,1,98,1
"679","0102080060304907",7,NA,2,3,NA,NA,1,1,98,1,1,98,1
"680","0102080060304908",5,NA,2,3,NA,NA,1,1,98,1,1,98,1
"681","0102080060304909",NA,23,1,3,NA,NA,1,1,98,1,1,98,1
"682","0102080060306401",55,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"683","0102080060306402",19,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA
"684","0102080060306403",7,NA,1,4,NA,NA,1,2,98,6,2,98,8
"685","0102080060307901",43,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"686","0102080060307902",33,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"687","0102080060307903",14,NA,1,3,1,1,1,1,3,1,1,98,1
"688","0102080060307904",11,NA,1,3,1,1,1,1,3,1,1,98,1
"689","0102080060307905",9,NA,1,3,NA,NA,1,1,3,1,1,98,1
"690","0102080060307906",6,NA,1,3,NA,NA,1,1,3,1,1,98,1
"691","0102080060307907",NA,33,2,3,NA,NA,1,1,3,1,1,98,1
"692","0102080060309401",28,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"693","0102080060309402",17,NA,2,2,1,2,1,2,98,1,2,98,1
"694","0102080060310901",57,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"695","0102080060312401",55,NA,2,1,1,4,1,NA,NA,NA,NA,NA,NA
"696","0102080060312402",24,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA
"697","0102080060312403",19,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA
"698","0102080060312404",7,NA,1,3,NA,NA,1,2,98,1,1,98,1
"699","0102080060312405",73,NA,2,5,1,4,1,NA,NA,NA,NA,NA,NA
"700","0102080060314001",73,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"701","0102080060314002",36,NA,2,3,1,2,1,NA,NA,NA,NA,NA,NA
"702","0102080060314003",13,NA,1,4,1,1,1,2,3,1,1,98,1
"703","0102080060314004",NA,45,2,4,NA,NA,1,2,98,1,1,98,1
"704","0102080060318001",29,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"705","0102090060200601",59,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"706","0102090060200602",48,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"707","0102090060200603",22,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA
"708","0102090060200604",18,NA,2,3,1,1,1,NA,NA,NA,NA,NA,NA
"709","0102090060200605",15,NA,1,3,1,1,1,1,98,1,1,98,1
"710","0102090060200606",12,NA,2,3,1,1,1,1,98,1,1,98,1
"711","0102090060202401",36,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"712","0102090060202402",30,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"713","0102090060202403",10,NA,1,3,1,1,1,1,98,1,1,98,1
"714","0102090060202404",7,NA,1,3,NA,NA,1,1,98,1,1,98,1
"715","0102090060202405",NA,24,1,3,NA,NA,1,1,98,1,1,98,1
"716","0102090060204301",66,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"717","0102090060204302",43,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"718","0102090060204303",9,NA,1,4,NA,NA,1,2,98,1,2,98,1
"719","0102090060204304",6,NA,1,4,NA,NA,1,2,98,1,2,98,1
"720","0102090060206301",51,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"721","0102090060206302",42,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"722","0102090060206303",18,NA,2,3,1,1,1,NA,NA,NA,NA,NA,NA
"723","0102090060206304",13,NA,2,3,1,1,1,1,98,1,1,98,1
"724","0102090060206305",11,NA,1,3,1,1,1,1,98,1,1,98,1
"725","0102090060206306",8,NA,1,3,NA,NA,1,1,98,1,1,98,1
